,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-06-18,20,RCN,0.06238,20351,1.0%,-4.1%
2020-03-19,120,RCN,0.043989999999999994,38052,1.0%,50.2%
2019-11-25,41,RCN,0.04448,33969,1.0%,4.2%
2019-10-20,39,RCN,0.036860000000000004,32108,1.0%,-3.7%
2018-05-25,29,RCN,0.08645,19678,1.0%,-24.6%
2020-04-02,46,RCN,0.0586,38815,1.0%,7.2%
2019-03-11,26,RCN,0.02164,25912,1.0%,8.2%
2018-11-29,28,RCN,0.01655,23945,1.0%,10.3%
2018-06-12,34,RCN,0.0576,20189,1.0%,-33.9%
2020-02-14,84,RCN,0.07433,36738,1.0%,29.5%
2019-03-12,32,RCN,0.0249,25944,1.0%,3.7%
2018-11-30,12,RCN,0.0155,23957,1.0%,4.9%
2019-11-24,39,RCN,0.04142,33928,1.0%,-11.1%
2020-05-23,53,RCN,0.07964,43042,1.0%,-10.7%
2018-03-15,19,RCN,0.1006,16090,1.0%,-12.0%
2018-05-30,21,RCN,0.08251,19809,1.0%,-6.2%
2019-06-29,32,RCN,0.02636,28737,1.0%,-21.5%
2019-03-30,85,RCN,0.029580000000000002,26420,1.0%,28.3%
2018-06-19,30,RCN,0.057999999999999996,20381,1.0%,0.7%
2019-06-28,63,RCN,0.02555,28705,0.9%,-29.3%
2018-05-26,30,RCN,0.08824,19708,0.9%,-26.2%
2019-11-09,25,RCN,0.045239999999999995,33285,0.9%,-3.1%
2018-11-17,116,RCN,0.023,23540,0.9%,-27.5%
2019-11-29,32,RCN,0.0498,34147,0.9%,14.5%
2018-11-03,15,RCN,0.03324,23153,0.9%,-10.4%
2019-10-22,66,RCN,0.04755,32213,0.9%,16.7%
2019-06-24,42,RCN,0.03442,28542,0.9%,4.6%
2019-10-23,47,RCN,0.04175,32260,0.9%,13.5%
2019-06-23,34,RCN,0.034,28500,0.9%,6.2%
2019-06-18,39,RCN,0.03272,28316,0.9%,-0.2%
2019-11-10,41,RCN,0.04846,33326,0.9%,12.0%
2019-12-03,29,RCN,0.0484,34336,0.9%,1.5%
2019-11-22,59,RCN,0.0435,33828,0.9%,-4.5%
2019-03-13,24,RCN,0.0258,25968,0.9%,21.7%
2018-11-28,73,RCN,0.01732,23917,0.9%,6.7%
2018-06-08,18,RCN,0.08112,20060,0.9%,-11.6%
2020-04-28,51,RCN,0.06867999999999999,40039,0.9%,18.8%
2020-05-24,50,RCN,0.07332000000000001,43092,0.9%,-17.0%
2019-06-30,21,RCN,0.02541,28758,0.9%,-25.3%
2019-06-26,38,RCN,0.02947,28609,0.9%,-9.8%
2019-06-17,41,RCN,0.0329,28277,0.9%,1.0%
2019-06-25,29,RCN,0.0321,28571,0.9%,-1.9%
2020-04-03,42,RCN,0.0548,38857,0.9%,7.4%
2019-10-21,39,RCN,0.04233,32147,0.9%,13.9%
2018-12-01,4,RCN,0.01741,23961,0.9%,24.4%
2020-02-21,39,RCN,0.07007000000000001,37066,0.9%,-5.7%
2019-12-04,38,RCN,0.044219999999999995,34374,0.9%,-10.2%
2018-06-11,43,RCN,0.06508,20155,0.9%,-24.2%
2020-04-10,58,RCN,0.05582,39203,0.9%,1.9%
2020-04-27,64,RCN,0.0683,39988,0.9%,21.7%
2020-04-04,55,RCN,0.052770000000000004,38912,0.9%,0.4%
2019-11-11,50,RCN,0.046669999999999996,33376,0.9%,11.9%
2018-11-24,18,RCN,0.013999999999999999,23748,0.9%,-39.1%
2018-09-25,28,RCN,0.02773,22384,0.9%,-26.4%
2019-11-21,45,RCN,0.04336,33769,0.9%,-10.2%
2019-06-27,33,RCN,0.024990000000000002,28642,0.9%,-21.7%
2019-11-30,37,RCN,0.04695,34184,0.9%,2.3%
2019-03-14,25,RCN,0.022959999999999998,25993,0.9%,5.9%
2020-04-05,33,RCN,0.05087,38945,0.9%,6.4%
2019-11-20,42,RCN,0.042589999999999996,33724,0.9%,-12.0%
