,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-07-01,2,AID,0.10400000000000001,1421,1.2%,-1.0%
2018-07-06,6,AID,0.113,1432,1.2%,13.0%
2018-06-20,5,AID,0.1207,1354,1.2%,8.8%
2019-07-30,31,AID,0.01746,18489,1.2%,-11.4%
2018-08-14,6,AID,0.057510000000000006,1546,1.2%,-37.4%
2018-08-22,9,AID,0.06748,1570,1.2%,16.0%
2018-07-02,2,AID,0.10300000000000001,1423,1.1%,2.8%
2019-02-04,4,AID,0.0208,3606,1.1%,-18.2%
2018-07-15,2,AID,0.109,1452,1.1%,-0.9%
2018-10-17,6,AID,0.0496,1666,1.1%,-5.0%
2018-09-05,2,AID,0.06015,1599,1.1%,-14.7%
2019-08-03,16,AID,0.01341,18580,1.1%,-21.1%
2018-07-07,2,AID,0.11,1434,1.1%,10.0%
2018-07-08,2,AID,0.11,1436,1.1%,5.8%
2018-10-02,5,AID,0.0525,1639,1.0%,0.7%
2019-02-22,21,AID,0.040530000000000004,16860,1.0%,12.8%
2019-07-29,36,AID,0.01789,18458,1.0%,-28.2%
2018-08-06,5,AID,0.09899,1527,1.0%,-19.8%
2018-10-03,3,AID,0.05215,1642,1.0%,0.1%
2018-07-09,1,AID,0.11,1437,1.0%,6.8%
2018-08-21,2,AID,0.06097999999999999,1561,1.0%,6.0%
2018-09-06,2,AID,0.05392,1601,0.9%,-20.6%
2019-08-04,15,AID,0.013519999999999999,18595,0.9%,-8.7%
2019-05-13,27,AID,0.0587,17768,0.9%,30.4%
2018-10-05,2,AID,0.055999999999999994,1645,0.9%,-1.8%
2019-02-23,10,AID,0.04567,16870,0.9%,24.1%
2019-05-14,12,AID,0.06844,17780,0.9%,20.1%
2019-07-28,38,AID,0.01481,18422,0.9%,-25.2%
2018-10-01,2,AID,0.0522,1634,0.9%,0.2%
2019-08-05,22,AID,0.01225,18617,0.9%,-31.5%
2018-10-04,1,AID,0.055999999999999994,1643,0.9%,-0.2%
2018-08-07,1,AID,0.09183999999999999,1528,0.9%,-24.2%
2018-10-06,1,AID,0.05567999999999999,1646,0.9%,0.9%
2018-08-13,2,AID,0.055220000000000005,1540,0.9%,-44.2%
2018-07-05,2,AID,0.11,1426,0.8%,10.0%
2019-05-12,18,AID,0.07758999999999999,17741,0.8%,51.3%
2018-09-02,2,AID,0.06977,1594,0.8%,-4.8%
2018-09-08,2,AID,0.053,1605,0.8%,-27.6%
2018-09-09,2,AID,0.05057,1607,0.8%,-27.5%
2018-09-29,2,AID,0.05521,1632,0.8%,5.9%
2019-08-06,20,AID,0.012,18637,0.8%,-31.3%
2018-10-16,4,AID,0.0481,1660,0.8%,-18.8%
2018-08-11,4,AID,0.0747,1534,0.8%,-24.8%
2018-07-04,1,AID,0.1092,1424,0.8%,9.2%
2019-02-24,6,AID,0.04,16876,0.8%,7.5%
2019-05-11,17,AID,0.05652000000000001,17723,0.8%,18.7%
2018-08-29,1,AID,0.07053999999999999,1582,0.8%,4.5%
2018-08-30,4,AID,0.06788,1586,0.8%,-24.6%
2018-08-31,5,AID,0.075,1591,0.8%,-4.6%
2018-09-01,1,AID,0.07316,1592,0.8%,-3.7%
2018-09-07,2,AID,0.055,1603,0.8%,-26.7%
2018-09-10,1,AID,0.0397,1608,0.8%,-45.0%
2019-05-15,12,AID,0.07222999999999999,17792,0.7%,18.6%
2018-09-28,1,AID,0.057,1630,0.7%,9.4%
2019-08-07,16,AID,0.0138,18653,0.7%,-18.8%
2018-08-09,1,AID,0.08041,1529,0.7%,-23.8%
2019-09-16,15,AID,0.010579999999999999,19096,0.7%,2.6%
2019-04-20,22,AID,0.05294,17468,0.7%,-7.9%
2019-04-21,9,AID,0.05013,17477,0.7%,3.2%
2019-05-10,16,AID,0.07499,17706,0.7%,56.1%
2019-09-14,16,AID,0.0086,19073,0.7%,0.1%
2019-09-15,8,AID,0.01031,19081,0.7%,-13.4%
2019-04-22,8,AID,0.05044,17485,0.7%,-6.4%
2019-07-27,62,AID,0.017,18384,0.7%,-16.0%
2019-04-23,13,AID,0.05005,17498,0.7%,-8.7%
2019-05-09,29,AID,0.061,17690,0.7%,17.3%
2019-08-08,13,AID,0.01294,18666,0.7%,-12.9%
2019-08-11,16,AID,0.01123,18715,0.6%,-16.9%
2019-05-16,12,AID,0.061689999999999995,17804,0.6%,1.1%
2019-02-25,11,AID,0.04,16887,0.6%,-16.5%
2019-08-10,21,AID,0.013880000000000002,18699,0.6%,3.5%
2019-04-19,9,AID,0.0502,17446,0.6%,-1.5%
2019-09-13,8,AID,0.01037,19057,0.6%,0.6%
2019-05-17,15,AID,0.06498999999999999,17819,0.6%,-13.3%
2019-09-12,13,AID,0.008596,19049,0.6%,-25.8%
2019-09-17,11,AID,0.01034,19107,0.6%,20.5%
2018-09-12,1,AID,0.0507,1609,0.6%,-15.7%
2019-04-18,27,AID,0.05538,17437,0.6%,-9.2%
2019-08-09,12,AID,0.01342,18678,0.6%,-9.5%
2019-06-22,9,AID,0.0329,18142,0.6%,-10.5%
2019-09-11,48,AID,0.01027,19036,0.6%,14.1%
2018-08-10,1,AID,0.08,1530,0.6%,-25.9%
2019-03-07,12,AID,0.045,17011,0.6%,11.7%
2019-08-12,12,AID,0.01082,18727,0.6%,-11.7%
2019-05-18,8,AID,0.060020000000000004,17827,0.6%,6.2%
2019-06-21,11,AID,0.036660000000000005,18133,0.6%,-13.1%
2019-03-03,15,AID,0.041569999999999996,16973,0.6%,3.9%
2019-06-23,2,AID,0.03843,18144,0.6%,15.1%
2018-09-13,1,AID,0.05616,1610,0.6%,4.2%
2019-06-20,49,AID,0.03751,18122,0.6%,-6.2%
2018-09-26,4,AID,0.052110000000000004,1626,0.6%,-3.6%
2019-04-17,30,AID,0.05451,17410,0.6%,-10.5%
2019-03-04,7,AID,0.0427,16980,0.6%,6.8%
2019-08-13,12,AID,0.01126,18739,0.5%,-6.2%
2019-03-06,13,AID,0.0426,16999,0.5%,12.0%
2019-06-25,10,AID,0.027000000000000003,18159,0.5%,-20.6%
2019-06-24,5,AID,0.034,18149,0.5%,-3.7%
2019-08-14,14,AID,0.01078,18753,0.5%,-21.9%
2019-02-26,9,AID,0.03743,16896,0.5%,1.4%
2019-03-05,6,AID,0.04359,16986,0.5%,16.5%
2019-04-24,4,AID,0.05002,17502,0.5%,-8.2%
2019-05-19,7,AID,0.06001,17834,0.5%,-22.7%
2019-05-08,38,AID,0.0609,17661,0.5%,16.8%
2019-03-02,20,AID,0.0417,16958,0.5%,-8.7%
2019-08-16,13,AID,0.011000000000000001,18774,0.5%,-18.0%
2019-09-20,19,AID,0.01015,19154,0.5%,-2.1%
2019-08-15,8,AID,0.012,18761,0.5%,-7.3%
2019-02-27,11,AID,0.03805,16907,0.5%,-8.5%
2019-09-22,12,AID,0.01015,19177,0.5%,-1.6%
2018-09-19,3,AID,0.05407000000000001,1617,0.5%,6.6%
2018-09-22,1,AID,0.052110000000000004,1619,0.5%,-10.2%
2019-03-08,11,AID,0.0408,17022,0.5%,0.3%
2018-10-09,1,AID,0.05922,1647,0.5%,12.8%
2019-04-26,17,AID,0.04747,17531,0.5%,-5.4%
2019-09-21,11,AID,0.01099,19165,0.5%,27.8%
2019-06-26,1,AID,0.0274,18160,0.5%,-42.9%
2019-10-24,9,AID,0.010790000000000001,19470,0.5%,-17.1%
2019-03-15,14,AID,0.047,17102,0.5%,15.2%
2019-03-01,27,AID,0.04068,16938,0.5%,0.4%
2019-09-23,7,AID,0.009327,19184,0.5%,-11.8%
2019-09-24,11,AID,0.008713,19195,0.5%,-15.7%
2019-09-25,13,AID,0.009038,19208,0.5%,-14.7%
2019-03-14,15,AID,0.045989999999999996,17088,0.5%,2.2%
2019-09-19,15,AID,0.012029999999999999,19135,0.5%,39.9%
2019-10-23,8,AID,0.01077,19461,0.4%,-14.2%
2019-03-09,12,AID,0.04512,17034,0.4%,8.2%
2019-04-25,12,AID,0.0475,17514,0.4%,-14.2%
2019-09-18,13,AID,0.01059,19120,0.4%,3.1%
2019-03-12,10,AID,0.045739999999999996,17060,0.4%,4.9%
2019-03-13,13,AID,0.04241,17073,0.4%,-0.4%
2019-03-16,6,AID,0.04701,17108,0.4%,4.2%
2019-10-22,9,AID,0.01197,19453,0.4%,-10.7%
2019-03-24,13,AID,0.057010000000000005,17187,0.4%,20.3%
2019-02-28,4,AID,0.04027,16911,0.4%,13.8%
2019-03-26,9,AID,0.05175,17201,0.4%,-6.8%
2019-09-26,8,AID,0.00864,19216,0.4%,-28.2%
2019-08-17,4,AID,0.012,18778,0.4%,-13.5%
2019-04-16,13,AID,0.05484,17380,0.4%,4.4%
2019-10-21,9,AID,0.01225,19444,0.4%,-34.7%
2019-03-18,8,AID,0.048,17121,0.4%,4.4%
2019-03-25,5,AID,0.05099,17192,0.4%,6.2%
2019-03-27,4,AID,0.055999999999999994,17205,0.4%,9.8%
2019-10-20,19,AID,0.012209999999999999,19435,0.4%,-28.2%
2019-03-10,9,AID,0.04205,17043,0.4%,1.2%
2019-03-11,7,AID,0.045989999999999996,17050,0.4%,7.7%
2019-03-17,5,AID,0.04738,17113,0.4%,12.7%
2019-04-15,14,AID,0.0539,17367,0.4%,2.7%
2019-03-19,7,AID,0.0555,17128,0.4%,21.3%
2019-04-27,6,AID,0.0536,17537,0.4%,1.2%
2019-04-29,10,AID,0.05,17554,0.4%,-0.9%
2019-06-19,12,AID,0.048,18073,0.4%,14.0%
2019-05-20,3,AID,0.06001,17837,0.4%,2.2%
2019-03-23,19,AID,0.069,17174,0.4%,46.8%
2019-04-28,7,AID,0.05,17544,0.4%,-0.3%
2019-04-07,9,AID,0.05799,17292,0.4%,3.6%
2019-05-01,6,AID,0.05212000000000001,17569,0.4%,4.2%
2019-10-18,30,AID,0.0104,19408,0.4%,9.2%
2019-05-22,13,AID,0.06001,17860,0.4%,-16.9%
2019-03-28,4,AID,0.055999999999999994,17209,0.4%,7.0%
2019-05-21,10,AID,0.06648,17847,0.4%,-2.9%
2019-09-27,10,AID,0.01287,19226,0.4%,26.8%
